timestamp,lat,long,value1
1664742625.47141,-84.0, 5, 71262959382.26665
1664742625.47141,-84.0, 10, 71256407824.5698
1664742625.47141,-84.0, 15, 71200945662.78781
1664742625.47141,-84.0, 20, 71115704428.17021
1664742625.47141,-84.0, 25, 70897945063.5929
1664742625.47141,-84.0, 30, 70797364674.35487
1664742625.47141,-84.0, 35, 71161776269.3239
1664742625.47141,-84.0, 40, 71553180354.0246
1664742625.47141,-84.0, 45, 71483258737.39648
1664742625.47141,-84.0, 50, 71466970141.4922
1664742625.47141,-84.0, 55, 72038526806.56569
1664742625.47141,-84.0, 60, 72615144255.96552
1664742625.47141,-84.0, 65, 72647656827.90991
1664742625.47141,-84.0, 70, 72623690808.6226
1664742625.47141,-84.0, 75, 73029318477.05988
1664742625.47141,-84.0, 80, 73295376647.66179
1664742625.47141,-84.0, 85, 72893381202.33853
1664742625.47141,-84.0, 90, 72262674555.68393
1664742625.47141,-84.0, 95, 71674804024.72313
1664742625.47141,-84.0, 100, 71112740170.7254
1664742625.47141,-84.0, 105, 70772749703.76881
1664742625.47141,-84.0, 110, 70296787669.36841
1664742625.47141,-84.0, 115, 69269623442.92488
1664742625.47141,-84.0, 120, 68138313124.288925
1664742625.47141,-84.0, 125, 67287379333.62468
1664742625.47141,-84.0, 130, 66460395130.66226
1664742625.47141,-84.0, 135, 65500718980.300606
1664742625.47141,-84.0, 140, 64533416111.48886
1664742625.47141,-84.0, 145, 63642024628.62459
1664742625.47141,-84.0, 150, 62782504238.94715
1664742625.47141,-84.0, 155, 61913297430.31104
1664742625.47141,-84.0, 160, 61115301750.65389
1664742625.47141,-84.0, 165, 60476148790.0918
1664742625.47141,-84.0, 170, 59908602247.80439
1664742625.47141,-84.0, 175, 59316601350.76483
1664742625.47141,-84.0, 180, 58822500520.62168
1664742625.47141,-81.5, -180, 59342734589.03119
1664742625.47141,-81.5, -175, 58904030221.675285
1664742625.47141,-81.5, -170, 58768191827.38375
1664742625.47141,-81.5, -165, 58864847266.67963
1664742625.47141,-81.5, -160, 59159242176.95869
1664742625.47141,-81.5, -155, 59569264424.67455
1664742625.47141,-81.5, -150, 60176381940.25716
1664742625.47141,-81.5, -145, 61056079501.8497
1664742625.47141,-81.5, -140, 62109082608.22526
1664742625.47141,-81.5, -135, 63228622876.00118
1664742625.47141,-81.5, -130, 64513790518.40371
1664742625.47141,-81.5, -125, 66070236829.26806
1664742625.47141,-81.5, -120, 67748408260.5678
1664742625.47141,-81.5, -115, 69390476634.06818
1664742625.47141,-81.5, -110, 71106931183.6398
1664742625.47141,-81.5, -105, 73014950114.53535
1664742625.47141,-81.5, -100, 74943999912.06163
1664742625.47141,-81.5, -95, 76707334637.4332
1664742625.47141,-81.5, -90, 78424455150.11275
1664742625.47141,-81.5, -85, 80231256204.2285
1664742625.47141,-81.5, -80, 81948228409.42642
1664742625.47141,-81.5, -75, 83443142573.65794
1664742625.47141,-81.5, -70, 84673281100.2528
1664742625.47141,-81.5, -65, 85484692598.6361
1664742625.47141,-81.5, -60, 86076156996.71902
1664742625.47141,-81.5, -55, 86766713316.22871
1664742625.47141,-81.5, -50, 87206346538.58502
1664742625.47141,-81.5, -45, 87039090995.43912
1664742625.47141,-81.5, -40, 86539339056.3193
1664742625.47141,-81.5, -35, 85915964224.79964
1664742625.47141,-81.5, -30, 85144512882.09436
1664742625.47141,-81.5, -25, 84269163950.33824
1664742625.47141,-81.5, -20, 83326635416.09694
1664742625.47141,-81.5, -15, 82353003938.33665
1664742625.47141,-81.5, -10, 81408974712.68118
1664742625.47141,-81.5, -5, 80546693705.71391
1664742625.47141,-81.5, 0, 79823245183.65964
1664742625.47141,-81.5, 5, 79381577315.01143
1664742625.47141,-81.5, 10, 78982490088.29515
1664742625.47141,-81.5, 15, 78273525136.60011
1664742625.47141,-81.5, 20, 77774581809.60258
1664742625.47141,-81.5, 25, 77995424639.64622
1664742625.47141,-81.5, 30, 78465249148.56622
1664742625.47141,-81.5, 35, 78844957710.57265
1664742625.47141,-81.5, 40, 79292072759.70517
1664742625.47141,-81.5, 45, 79803194668.05344
1664742625.47141,-81.5, 50, 80439139943.16429
1664742625.47141,-81.5, 55, 81324146770.5381
1664742625.47141,-81.5, 60, 82230384914.93008
1664742625.47141,-81.5, 65, 82951553102.07263
1664742625.47141,-81.5, 70, 83572761721.60089
1664742625.47141,-81.5, 75, 84215394687.85512
1664742625.47141,-81.5, 80, 84574340585.30316
1664742625.47141,-81.5, 85, 84258868332.86577
1664742625.47141,-81.5, 90, 83663322384.0405
1664742625.47141,-81.5, 95, 83193505723.86818
1664742625.47141,-81.5, 100, 82598767383.54288
1664742625.47141,-81.5, 105, 81789431698.85257
1664742625.47141,-81.5, 110, 80714912357.16058
1664742625.47141,-81.5, 115, 79259321033.23979
1664742625.47141,-81.5, 120, 77577094027.77608
1664742625.47141,-81.5, 125, 75812434275.872
1664742625.47141,-81.5, 130, 73932681716.81017
1664742625.47141,-81.5, 135, 71893240493.32957
1664742625.47141,-81.5, 140, 69890091396.81151
1664742625.47141,-81.5, 145, 68146512289.01006
1664742625.47141,-81.5, 150, 66515600602.17187
1664742625.47141,-81.5, 155, 64854261427.80781
1664742625.47141,-81.5, 160, 63376159412.2897
1664742625.47141,-81.5, 165, 62321026062.21058
1664742625.47141,-81.5, 170, 61392679538.42136
1664742625.47141,-81.5, 175, 60271862487.63422
1664742625.47141,-81.5, 180, 59342734589.03042
1664742625.47141,-79.0, -180, 57117884579.44427
1664742625.47141,-79.0, -175, 56426137635.92619
1664742625.47141,-79.0, -170, 56128939206.36727
1664742625.47141,-79.0, -165, 56152887669.51158
1664742625.47141,-79.0, -160, 56458018546.97487
1664742625.47141,-79.0, -155, 56963494520.20469
