latitude, longitude, E-density
-86.5, -140, 49316738551.92277
-86.5, -135, 49482772719.83526
-86.5, -130, 49664771940.120186
-86.5, -125, 50043510104.80539
-86.5, -120, 50435725194.89834
-86.5, -115, 50618682257.69763
-86.5, -110, 50792969773.955376
-86.5, -105, 51161111757.10991
-86.5, -100, 51519117018.57999
-86.5, -95, 51622447647.20035
-86.5, -90, 51704374314.07562
-86.5, -85, 52014335112.43165
-86.5, -80, 52301860611.2907
-86.5, -75, 52258825182.86557
-86.5, -70, 52190187500.26487
-86.5, -65, 52426095449.700676
-86.5, -60, 52647876316.641396
-86.5, -55, 52513093633.05042
-86.5, -50, 52270747082.90229
-86.5, -45, 52094006317.73352
-86.5, -40, 51911939951.98398
-86.5, -35, 51704043286.11125
-86.5, -30, 51494763387.57702
-86.5, -25, 51304555732.40206
-86.5, -20, 51126577291.05222
-86.5, -15, 50953701236.721146
-86.5, -10, 50804963398.07316
-86.5, -5, 50697668034.232056
-86.5, 0, 50626652569.38588
-86.5, 5, 50586495569.42796
-86.5, 10, 50588763941.47324
-86.5, 15, 50688232748.35187
-86.5, 20, 50743704374.71432
-86.5, 25, 50528962239.36593
-86.5, 30, 50362402769.221565
-86.5, 35, 50556500285.494194
-86.5, 40, 50785646053.81506
-86.5, 45, 50731092039.61784
-86.5, 50, 50699925563.67963
-86.5, 55, 50954995851.8436
-86.5, 60, 51213374140.21533
-86.5, 65, 51191003357.71374
-86.5, 70, 51163451625.46488
-86.5, 75, 51363794960.51673
-86.5, 80, 51544569877.362144
-86.5, 85, 51490518065.47359
-86.5, 90, 51347003163.12188
-86.5, 95, 51162666348.30299
-86.5, 100, 51004622053.36587
-86.5, 105, 50974427914.9098
-86.5, 110, 50909738901.066
-86.5, 115, 50621597042.66381
-86.5, 120, 50338904577.88691
-86.5, 125, 50154734486.143105
-86.5, 130, 49988023085.045944
-86.5, 135, 49789811146.385765
-86.5, 140, 49580824285.080956
-86.5, 145, 49364443458.46287
-86.5, 150, 49148641738.96952
-86.5, 155, 48941694121.7225
-86.5, 160, 48747125720.448494
-86.5, 165, 48565792053.10096
-86.5, 170, 48412301131.53527
-86.5, 175, 48302693103.81844
